Name,S1 Clan,S2 Clan,S3 Clan,S4 Clan,S5 Clan,S6 Clan
Dennis,B,F,F,F,F,None
Buck,B,A,A,A,A,A
Phoenix jord ,None,None,None,C,None,None
Gerdclash,None,None,G,G,G,F
Gino,F,E,E,E,E,D
GC - Gards,G,G,G,G,F,E
Monk,F,D,D,D,D,None
Roland,E,C,C,C,C,B
Kirkland,H,E,E,E,E,E
CH€€Z€,D,F,None,None,None,None
Buster Brown,None,None,D,D,D,None
Edison,G,D,B,B,F,B
Washed Balls,C,A,A,A,None,None
Quackers,E,A,A,A,None,None
Random,D,D,D,D,None,None
Brian,A,A,A,A,A,WPU
Nasty1,B,G,None,None,None,None
Hillbilly,None,None,None,None,None,E
Robert,F,F,None,None,None,None
Fred,E,E,F,E,E,D
Falcon 2,0,0,0,0,G,C
LD,0,0,0,0,B,E
Gerd-Clasha,None,G,G,G,F,F
Blackie,None,None,None,None,None,E
Sova4u,F,D,None,None,None,None
Tina,D,C,E,E,D,D
Ashton,E,E,C,B,A,A
2ndHand Lion,F,E,E,F,F,None
Sherm,A,A,A,A,A,A
Michael,B,C,C,C,A,A
LuckyGirl2,D,C,C,C,C,A
Whackhead,F,E,E,E,E,None
Dewlap,C,B,B,B,None,None
Betterwetter,C,B,B,None,None,None
Venician3,None,None,G,None,None,None
LuckyGirl,None,None,None,None,None,D
Dennis,F,D,D,E,E,E
Zephyr2,C,F,C,B,B,B
Cal,None,None,F,D,D,None
Corey,B,D,D,D,E,D
Robin,G,A,A,C,B,A
Victor,D,E,E,E,D,D
Rhyno,G,G,G,G,None,None
GCJimmy,A,E,E,E,E,D
Brooke,F,G,G,E,E,D
Jason,None,None,G,E,E,None
Jason,None,None,F,F,F,None
TofuDaLegend,H,G,None,None,None,None
Brandon22,E,F,F,F,F,E
Davis,E,G,G,E,F,E
BK84,F,F,F,F,F,F
Graciebear,None,None,None,None,G,F
TrippinMocha,E,G,G,G,None,None
Go2urhome!!!,None,None,None,A,A,WPU
Brian,A,C,D,D,D,C
SirSliceAlot,C,B,B,None,None,None
Rory,C,B,D,A,A,A
Curtis,B,F,F,E,E,E
Falcon,None,A,A,A,A,None
Steve C,E,E,E,E,E,D
Whole N Juan,F,F,F,F,E,D
Buddy,G,F,D,D,D,C
Martin,E,D,D,C,A,A
Jonathan,C,A,A,A,A,WPU
NoWinForYou,E,G,G,G,F,F
Neal3,None,None,E,None,None,None
Dave,A,B,D,C,C,B
Dave Jr.,G,G,G,G,G,F
Scott,None,C,A,C,None,None
Found it!,B,B,B,B,B,A
John,D,E,E,E,D,E
Craig,C,C,D,A,C,A
