Name,S1 Points,S2 Points,S3 Points,S4 Points,S5 Points,S6 Points
GC Robert,1760.0,1030.0,1180.0,0.0,0.0,0.0
Tara Holenme,0.0,0.0,0.0,0.0,0.0,0.0
KatBClashin,2040.0,3330.0,3090.0,2080.0,1490.0,2500.0
Poppy,6430.0,5790.0,2490.0,0.0,0.0,0.0
Craig,1520.0,1050.0,2780.0,795.0,1620.0,1250.0
Tom,0.0,0.0,0.0,0.0,0.0,120.0
Jay,2510.0,2290.0,2600.0,2190.0,1900.0,2020.0
Scott,0.0,2150.0,1900.0,1770.0,0.0,0.0
Keyser Soze,224.0,1790.0,1680.0,1030.0,778.0,1300.0
Ghost Pepper,1280.0,1250.0,2060.0,0.0,0.0,0.0
Poppa Mupp,508.0,1660.0,1900.0,705.0,1420.0,902.0
Teddy,1090.0,1120.0,789.0,547.0,930.0,679.0
Duffer,122.0,378.0,253.0,483.0,292.0,256.0
Luckyshot,9500.0,6110.0,16060.0,7880.0,13360.0,0.0
Crash-n-Burn,3920.0,2420.0,2580.0,2070.0,2320.0,1980.0
Derrick,3450.0,3660.0,2020.0,400.0,0.0,0.0
RV,0.0,0.0,4060.0,2270.0,3070.0,2810.0
Dennis,392.0,475.0,318.0,35.0,194.0,0.0
Buck,3800.0,4540.0,4130.0,5040.0,4310.0,4750.0
Phoenix jord ,0.0,0.0,0.0,1930.0,0.0,0.0
Gerdclash,0.0,0.0,176.0,184.0,190.0,0.0
Gino,622.0,852.0,796.0,806.0,597.0,806.0
GC - Gards,264.0,104.0,195.0,993.0,143.0,409.0
Monk,1350.0,1010.0,1050.0,56.0,0.0,0.0
Roland,1500.0,1670.0,1500.0,1110.0,2400.0,2330.0
Kirkland,659.0,1000.0,539.0,441.0,725.0,16.0
CH€€Z€,537.0,56.0,0.0,0.0,0.0,0.0
Buster Brown,0.0,0.0,208.0,366.0,0.0,0.0
Edison,1360.0,2620.0,3730.0,1860.0,2280.0,2050.0
Washed Balls,6720.0,8490.0,5650.0,5340.0,0.0,0.0
Quackers,3210.0,3880.0,4670.0,3430.0,0.0,0.0
Random,1050.0,828.0,673.0,0.0,0.0,0.0
Brian,4930.0,5970.0,14780.0,6010.0,4740.0,0.0
Nasty1,88.0,80.0,0.0,0.0,0.0,0.0
Hillbilly,0.0,0.0,0.0,0.0,0.0,646.0
Robert,430.0,115.0,0.0,0.0,0.0,0.0
Fred,817.0,402.0,1070.0,753.0,1170.0,625.0
Falcon 2,0.0,0.0,0.0,0.0,1040.0,660.0
LD,0.0,0.0,0.0,0.0,690.0,999.0
